Provincia,Codice,Comune,Denominazione,Dirigente,Tipo Incarico,Indirizzo,CAP,Telefono,Indirizzo posta elettronica,Indirizzo posta elettronica certificata,Coordinate,latitudine,longitudine
Lecce,LEIS046004,LECCE,"LICEO ""VIRGILIO"" LECCE",CILLO DARIO,EFFETTIVO,"VIA GALILEO GALILEI, 4",73100,832351724,leis046004@istruzione.it,leis046004@pec.istruzione.it,"('40.011655', '18.1640016')",40.011655,18.1640016
Lecce,LEIS04900G,GALATINA,"IISS ""LAPORTA/FALCONE-BORSELLINO""",VALERINI ANDREA,EFFETTIVO,"VIALE DON TONINO BELLO, S.N.",73013,836561117,leis04900g@istruzione.it,leis04900g@pec.istruzione.it,"('40.168366', '18.1738287')",40.168366,18.1738287
Lecce,LEMM00600E,LECCE,"S.S. 1 G. ""A. GRANDI""",MANCA MARIA ROSARIA,EFFETTIVO,"VIA FRANCESCO PATITARI, 2",73100,832346889,lemm00600e@istruzione.it,lemm00600e@pec.istruzione.it,"('40.3474333', '18.1825049')",40.3474333,18.1825049
Lecce,LEMM31000R,LECCE,CPIA 1 LECCE,CHEZZA ANNA MARINELLA,EFFETTIVO,"VIA LUIGI PAPPACODA, N. 15",73100,833955022,lemm31000r@istruzione.it,lemm31000r@pec.istruzione.it,"('40.3573722', '18.1621411')",40.3573722,18.1621411
Lecce,LEPC01000G,MAGLIE,"LICEO CLASSICO STATALE ""F. CAPECE""",MARGIOTTA GABRIELLA,EFFETTIVO,PIAZZA ALDO MORO 29,73024,836484301,lepc01000g@istruzione.it,lepc01000g@pec.istruzione.it,"('40.1213729', '18.2992086')",40.1213729,18.2992086
Lecce,LEPC03000R,LECCE,"LICEO CLASSICO MUSICALE ""PALMIERI""",DI CUONZO LOREDANA,EFFETTIVO,"VIALE DELL'UNIVERSITA', 12",73100,832305912,lepc03000r@istruzione.it,lepc03000r@pec.istruzione.it,"('40.3553017', '18.1662118')",40.3553017,18.1662118
Lecce,LEPM01000Q,LECCE,LICEO PIETRO SICILIANI,ITALIANO VITTORIA,EFFETTIVO,"VIA DI LEUCA, 2/L",73100,832246020,lepm01000q@istruzione.it,lepm01000q@pec.istruzione.it,"('40.3410195', '18.1763122')",40.3410195,18.1763122
Lecce,LEPM050006,TRICASE,LICEO STATALE GIROLAMO COMI,CAZZATO ANTONELLA,EFFETTIVO,VIA MARINA PORTO SNC,73039,833544471,lepm050006@istruzione.it,lepm050006@pec.istruzione.it,"('39.9313005', '18.3615554')",39.9313005,18.3615554
Lecce,LEPS03000X,CASARANO,"LICEO SCIENTIFICO E LINGUISTICO ""VANINI""",ATTANASI MARIA GRAZIA,EFFETTIVO,VIA RENO 34,73042,833502219,leps03000x@istruzione.it,leps03000x@pec.istruzione.it,"('40.0087929', '18.1654075')",40.0087929,18.1654075
Lecce,LEPS04000E,GALATINA,"LICEO SCIENT. E LING. STATALE""A.VALLONE""",BOTTAZZO MARIA ROSARIA,EFFETTIVO,"VIA DON TONINO BELLO, SNC.",73013,836566833,leps04000e@istruzione.it,leps04000e@pec.istruzione.it,"('40.168366', '18.1738287')",40.168366,18.1738287
Lecce,LEPS07000A,LECCE,LICEO SCIENTIFICO BANZI BAZOLI GIULIETTA,MANCA ANTONELLA,EFFETTIVO,PIAZZA     PALIO,73100,832393473,leps07000a@istruzione.it,leps07000a@pec.istruzione.it,"('40.3613152', '18.1926779')",40.3613152,18.1926779
Lecce,LESL03000R,LECCE,"LICEO ART. E COREUT. ""CIARDO-PELLEGRINO""",RUCCO TIZIANA PAOLA,EFFETTIVO,VIA VECCHIA COPERTINO 6 - LECCE,73100,832352431,lesl03000r@istruzione.it,lesl03000r@pec.istruzione.it,"('40.3321912', '18.1432402')",40.3321912,18.1432402
Lecce,LETD08000R,LECCE,"ISTITUTO TECNICO ""OLIVETTI"" LECCE",COLELLA PATRIZIA,EFFETTIVO,"VIA MARUGI, 29",73100,832233420,letd08000r@istruzione.it,letd08000r@pec.istruzione.it,"('40.3461262', '18.1875685')",40.3461262,18.1875685
Lecce,LETE010002,LECCE,"IST.TECNICO ""GRAZIA DELEDDA""-LECCE",CAPONE RAFFAELE,EFFETTIVO,"PIAZZA     DEL PALIO, 1",73100,832316047,lete010002@istruzione.it,lete010002@pec.istruzione.it,"('40.36039705', '18.194838160387953')",40.36039705,18.194838160387953
